RSN,Vs30,EQID,Magnitude,Rjb,Lowest Usable Freq - Ave. Component (Hz),Tp,Duration_5_75,Duration_5_95,EQname,StationName
1,593.35,1.0,6.0,2.07,0.163,-999.0,1.151550826325415,2.4775532498638153,"Helena, Montana-01",Carroll College
2,551.82,2.0,6.0,2.09,0.5,-999.0,0.252390546734379,0.6604936214331655,"Helena, Montana-02",Helena Fed Bldg
3,219.31,3.0,5.8,71.28,0.375,-999.0,8.13646733513336,22.43552425415485,Humbolt Bay,Ferndale City Hall
4,213.44,4.0,5.0,32.44,0.875,-999.0,7.402486143761425,15.3231059409136,Imperial Valley-01,El Centro Array #9
5,219.31,5.0,5.5,52.73,0.625,-999.0,3.98243680154526,10.85425508900045,Northwest Calif-01,Ferndale City Hall
6,213.44,6.0,6.95,6.09,0.25,-999.0,14.9538046618322,24.16736889141915,Imperial Valley-02,El Centro Array #9
7,219.31,7.0,6.6,91.15,0.163,-999.0,6.757362193862525,18.84152534375785,Northwest Calif-02,Ferndale City Hall
8,219.31,8.0,6.4,44.52,0.375,-999.0,4.16845559240536,14.25534394611355,Northern Calif-01,Ferndale City Hall
9,213.44,9.0,6.5,56.88,0.125,-999.0,20.49092054661875,35.50576142041615,Borrego,El Centro Array #9
10,213.44,10.0,5.6,24.58,0.5,-999.0,14.5280444581872,26.542789171450053,Imperial Valley-03,El Centro Array #9
11,219.31,11.0,5.8,53.73,0.5,-999.0,5.416392757401395,14.9301139037916,Northwest Calif-03,Ferndale City Hall
12,316.46,12.0,7.36,114.62,0.125,-999.0,17.875788722366202,31.478762772179948,Kern County,LA - Hollywood Stor FF
13,415.13,12.0,7.36,122.65,0.25,-999.0,15.04062489426915,29.34830719496565,Kern County,Pasadena - CIT Athenaeum
14,514.99,12.0,7.36,81.3,0.375,-999.0,11.906606860422649,31.03860932715965,Kern County,Santa Barbara Courthouse
15,385.43,12.0,7.36,38.42,0.125,-999.0,10.44868033145995,29.53417712490075,Kern County,Taft Lincoln School
16,219.31,13.0,5.2,42.69,0.288,-999.0,5.13114183633793,17.4517302069586,Northern Calif-02,Ferndale City Hall
17,493.5,14.0,6.0,73.35,0.138,-999.0,3.794484609617,12.75659181842615,Southern Calif,San Luis Obispo
18,213.44,15.0,5.5,15.11,0.75,-999.0,10.94384824186015,13.82198749542665,Imperial Valley-04,El Centro Array #9
19,198.77,16.0,5.3,25.11,0.375,-999.0,9.592884757985336,23.317627982658003,Central Calif-01,Hollister City Hall
20,219.31,17.0,6.5,26.72,0.125,-999.0,6.298756418080105,18.34666734306795,Northern Calif-03,Ferndale City Hall
21,213.44,18.0,5.4,13.78,0.375,-999.0,8.042108523507816,18.37047749707685,Imperial Valley-05,El Centro Array #9
22,213.44,19.0,6.8,121.0,0.288,-999.0,19.827887840882653,38.82314251610105,El Alamo,El Centro Array #9
23,874.72,20.0,5.28,9.74,0.875,-999.0,1.150750595489275,4.511543869195055,San Francisco,Golden Gate Park
24,198.77,21.0,5.0,7.28,0.413,-999.0,11.643554094436537,31.793992732036152,Central Calif-02,Hollister City Hall
25,219.31,22.0,5.7,56.94,0.163,-999.0,9.746914206786734,26.704055931889,Northern Calif-04,Ferndale City Hall
26,198.77,23.0,5.6,19.55,0.125,-999.0,9.32112961679928,17.849992104247548,Hollister-01,Hollister City Hall
27,198.77,24.0,5.5,17.2,0.288,-999.0,6.50654613329234,15.5580894494159,Hollister-02,Hollister City Hall
28,408.93,25.0,6.19,17.64,0.125,-999.0,14.4791544459545,27.8249180688567,Parkfield,Cholame - Shandon Array #12
29,184.75,25.0,6.19,6.27,0.1,-999.0,-999.0,-999.0,Parkfield,Cholame - Shandon Array #2
30,289.56,25.0,6.19,9.58,0.163,-999.0,2.2805710859067148,6.991328155139995,Parkfield,Cholame - Shandon Array #5
31,256.82,25.0,6.19,12.9,0.125,-999.0,4.809397129901385,11.956190177931251,Parkfield,Cholame - Shandon Array #8
32,493.5,25.0,6.19,63.34,0.625,-999.0,7.741336023898086,17.2333176071415,Parkfield,San Luis Obispo
33,527.92,25.0,6.19,15.96,0.188,-999.0,1.31998595619195,4.957619959702025,Parkfield,Temblor pre-1969
34,219.31,26.0,5.6,27.36,0.175,-999.0,2.706779773707665,18.72598185051685,Northern Calif-05,Ferndale City Hall
35,198.77,27.0,5.2,37.11,0.375,-999.0,13.0728838624238,31.785208397199906,Northern Calif-06,Hollister City Hall
36,213.44,28.0,6.63,45.12,0.1,-999.0,21.38233256227705,45.24171114319195,Borrego Mtn,El Centro Array #9
37,316.46,28.0,6.63,222.42,0.163,-999.0,17.4462118328168,25.53118305083695,Borrego Mtn,LA - Hollywood Stor FF
38,217.92,28.0,6.63,199.84,0.25,-999.0,29.7200960582732,37.0311349759623,Borrego Mtn,LB - Terminal Island
39,415.13,28.0,6.63,207.14,0.163,-999.0,22.5522422741796,34.58921478229975,Borrego Mtn,Pasadena - CIT Athenaeum
40,442.88,28.0,6.63,129.11,0.163,-999.0,18.894413084974502,27.9373217405815,Borrego Mtn,San Onofre - So Cal Edison
41,450.28,29.0,5.33,103.23,0.5,-999.0,4.55301174162091,9.613141733205694,Lytle Creek,Castaic - Old Ridge Route
42,477.22,29.0,5.33,21.33,0.5,-999.0,1.2494746101921002,2.791766910771865,Lytle Creek,Cedar Springs Pumphouse
43,813.48,29.0,5.33,17.4,1.0,-999.0,-999.0,-999.0,Lytle Creek,"Cedar Springs, Allen Ranch"
44,301.95,29.0,5.33,29.18,0.5,-999.0,6.17112029234221,14.738871364024948,Lytle Creek,Colton - So Cal Edison
45,667.13,29.0,5.33,18.39,0.375,-999.0,0.9767266500549456,2.04637987617109,Lytle Creek,Devil's Canyon
46,316.46,29.0,5.33,73.46,0.375,-999.0,4.862513130237826,12.307732726818148,Lytle Creek,LA - Hollywood Stor FF
47,425.34,29.0,5.33,90.25,1.0,-999.0,3.54354403233408,6.708344506465515,Lytle Creek,Lake Hughes #1
48,421.44,29.0,5.33,29.49,0.5,-999.0,5.026503538452415,9.637571562652536,Lytle Creek,Puddingstone Dam (Abutment)
49,667.13,29.0,5.33,42.14,0.5,-999.0,2.864969422830785,5.08811985000039,Lytle Creek,Santa Anita Dam
50,486.0,29.0,5.33,10.7,0.25,-999.0,1.534163512520065,3.099167148259125,Lytle Creek,Wrightwood - 6074 Park Dr
51,280.56,30.0,6.61,55.2,0.25,-999.0,26.37566979957585,53.0026124154493,San Fernando,2516 Via Tejon PV
52,360.45,30.0,6.61,173.16,0.625,-999.0,7.216407782560345,14.15612507216655,San Fernando,Anza Post Office
53,241.41,30.0,6.61,111.88,0.125,-999.0,22.7104331140947,33.1873292932989,San Fernando,Bakersfield - Harvey Aud
54,338.54,30.0,6.61,214.32,0.125,-999.0,12.652807758019753,21.1353466383678,San Fernando,Borrego Springs Fire Sta
55,385.69,30.0,6.61,111.37,0.125,-999.0,13.45021186687735,21.01433413025595,San Fernando,Buena Vista - Taft
56,235.0,30.0,6.61,61.79,0.625,-999.0,8.39095366128527,18.1707104154291,San Fernando,Carbon Canyon Dam
57,450.28,30.0,6.61,19.33,0.375,-999.0,7.105976670468805,16.112608819414397,San Fernando,Castaic - Old Ridge Route
58,477.22,30.0,6.61,92.25,0.125,-999.0,4.537287314803709,9.593314658880873,San Fernando,Cedar Springs Pumphouse
59,813.48,30.0,6.61,89.37,0.375,-999.0,5.77085619830397,10.06193866271622,San Fernando,"Cedar Springs, Allen Ranch"
60,184.75,30.0,6.61,217.54,0.125,-999.0,17.061911554925402,24.5092736705191,San Fernando,Cholame - Shandon Array #2
61,256.82,30.0,6.61,218.17,0.125,-999.0,-999.0,-999.0,San Fernando,Cholame - Shandon Array #8
62,301.95,30.0,6.61,96.81,0.125,-999.0,4.980143645757485,7.29045014694293,San Fernando,Colton - So Cal Edison
63,634.33,30.0,6.61,25.58,0.188,-999.0,3.149943550851,13.67639453726415,San Fernando,Fairmont Dam
64,394.18,30.0,6.61,59.52,0.125,-999.0,4.92057373956271,8.224488970657799,San Fernando,Fort Tejon
65,308.35,30.0,6.61,43.95,0.125,-999.0,3.57172644044972,7.17336193809955,San Fernando,Gormon - Oso Pump Plant
66,328.09,30.0,6.61,139.14,0.5,-999.0,8.542560481624456,21.911312891785748,San Fernando,Hemet Fire Station
67,591.0,30.0,6.61,130.0,0.125,-999.0,19.81381185097425,26.2980098424834,San Fernando,Isabella Dam (Aux Abut)
68,316.46,30.0,6.61,22.77,0.1,-999.0,5.1413327335578405,13.28652553452155,San Fernando,LA - Hollywood Stor FF
69,217.92,30.0,6.61,58.99,0.125,-999.0,37.39196774470415,52.26932729631275,San Fernando,LB - Terminal Island
70,425.34,30.0,6.61,22.23,0.15,-999.0,6.20514365726407,17.06372878609435,San Fernando,Lake Hughes #1
71,602.1,30.0,6.61,13.99,0.25,-999.0,2.634527949160235,11.339225922188149,San Fernando,Lake Hughes #12
72,600.06,30.0,6.61,19.45,0.25,-999.0,3.936017401008915,12.8838587830074,San Fernando,Lake Hughes #4
73,670.84,30.0,6.61,17.22,0.625,-999.0,2.8598849608799197,10.58143126464795,San Fernando,Lake Hughes #9
74,303.79,30.0,6.61,193.25,0.125,-999.0,17.402147582975502,28.744104129645105,San Fernando,Maricopa Array #1
75,443.85,30.0,6.61,108.56,0.25,-999.0,13.3627379710835,21.955043759623052,San Fernando,Maricopa Array #2
76,441.25,30.0,6.61,109.01,0.25,-999.0,14.142709342878147,23.11751684224215,San Fernando,Maricopa Array #3
77,2016.13,30.0,6.61,0.0,0.088,1.638,5.639761130826615,7.144730562442495,San Fernando,Pacoima Dam (upper left abut)
78,452.86,30.0,6.61,24.16,0.188,-999.0,-999.0,-999.0,San Fernando,Palmdale Fire Station
79,415.13,30.0,6.61,25.47,0.375,-999.0,6.351440514533341,13.425109710640651,San Fernando,Pasadena - CIT Athenaeum
80,969.07,30.0,6.61,21.5,0.625,-999.0,4.530195525784225,10.5042945757669,San Fernando,Pasadena - Old Seismo Lab
81,529.09,30.0,6.61,35.54,0.25,-999.0,6.93638106636707,13.69591267232695,San Fernando,Pearblossom Pump
82,248.98,30.0,6.61,68.84,0.063,-999.0,34.5853160491652,49.0093040724201,San Fernando,Port Hueneme
83,421.44,30.0,6.61,52.64,0.25,-999.0,5.94766726037615,14.168452386816,San Fernando,Puddingstone Dam (Abutment)
84,354.06,30.0,6.61,205.77,0.125,-999.0,15.05088364084435,22.8406201832093,San Fernando,San Diego Gas & Electric
85,459.37,30.0,6.61,108.01,0.25,-999.0,16.599548141242252,40.12055198221995,San Fernando,San Juan Capistrano
86,442.88,30.0,6.61,124.79,0.25,-999.0,14.880312770153653,35.154262869329955,San Fernando,San Onofre - So Cal Edison
87,667.13,30.0,6.61,30.7,0.375,-999.0,5.813224165999266,11.1276498695953,San Fernando,Santa Anita Dam
88,389.0,30.0,6.61,24.69,0.125,-999.0,6.24100164407418,19.95307706207225,San Fernando,Santa Felita Dam (Outlet)
89,669.48,30.0,6.61,61.75,0.25,-999.0,3.27843369880799,9.15745300242646,San Fernando,Tehachapi Pump
90,322.42,30.0,6.61,124.38,0.25,-999.0,28.2139828742402,49.2773679295824,San Fernando,UCSB - Fluid Mech Lab
91,487.23,30.0,6.61,61.72,0.375,-999.0,6.66451666909771,13.712911241685353,San Fernando,Upland - San Antonio Dam
92,347.67,30.0,6.61,68.38,0.125,-999.0,6.72120939009246,17.06717259823495,San Fernando,Wheeler Ridge - Ground
93,298.68,30.0,6.61,39.45,0.125,-999.0,7.02780985221567,19.3833317998774,San Fernando,Whittier Narrows Dam
94,486.0,30.0,6.61,61.64,0.25,-999.0,7.137018538541495,11.4467379723183,San Fernando,Wrightwood - 6074 Park Dr
95,288.77,31.0,6.24,3.51,0.375,-999.0,4.566881372962355,9.429096604357126,"Managua, Nicaragua-01","Managua, ESSO"
96,288.77,32.0,5.2,4.33,0.125,-999.0,2.471727907095775,7.846986856642545,"Managua, Nicaragua-02","Managua, ESSO"
97,248.98,33.0,5.65,15.48,0.25,-999.0,4.8377816065878605,12.260582674538249,Point Mugu,Port Hueneme
98,1428.14,34.0,5.14,9.99,1.625,-999.0,-999.0,-999.0,Hollister-03,Gilroy Array #1
99,198.77,34.0,5.14,8.85,0.375,-999.0,2.86453408271647,10.391209240316336,Hollister-03,Hollister City Hall
100,335.5,34.0,5.14,8.56,0.375,-999.0,3.4075687151722898,8.657434509614134,Hollister-03,"San Juan Bautista, 24 Polk St"
101,567.78,35.0,5.2,28.73,1.625,-999.0,2.991909715084,4.14482667834854,Northern Calif-07,Cape Mendocino
102,219.31,35.0,5.2,8.2,0.5,-999.0,8.119164765523214,21.5689944490134,Northern Calif-07,Ferndale City Hall
103,368.72,35.0,5.2,28.48,0.413,-999.0,2.21171446854097,4.47978015971996,Northern Calif-07,"Petrolia, General Store"
104,594.83,35.0,5.2,58.78,1.25,-999.0,-999.0,-999.0,Northern Calif-07,"Shelter Cove, Sta A"
105,518.98,35.0,5.2,59.7,1.0,-999.0,-999.0,-999.0,Northern Calif-07,"Shelter Cove, Sta B"
106,680.37,36.0,5.89,7.79,3.75,-999.0,-999.0,-999.0,Oroville-01,Oroville Seismograph Station
107,391.76,37.0,4.79,13.55,0.288,-999.0,2.187266545546305,5.46861025146006,Oroville-02,Oroville Airport
108,377.25,37.0,4.79,12.07,0.538,-999.0,3.220505749232975,6.862975615564125,Oroville-02,Up & Down Cafe (OR1)
109,519.15,38.0,4.37,9.22,0.313,-999.0,1.564311793284505,4.368707654840165,Oroville-04,Medical Center
110,391.76,38.0,4.37,13.37,0.25,-999.0,2.834543764547935,6.663792605988055,Oroville-04,Oroville Airport
111,377.25,38.0,4.37,11.0,0.413,-999.0,2.172722361474555,5.599181990751459,Oroville-04,Up & Down Cafe (OR1)
112,427.38,39.0,4.7,5.95,0.875,-999.0,1.51163209505787,4.708720470726215,Oroville-03,Broadbeck Residence
113,634.85,39.0,4.7,0.0,4.125,-999.0,0.775657042516504,2.582812063752935,Oroville-03,DWR Garage
114,418.97,39.0,4.7,7.35,0.875,-999.0,1.284170765246325,4.3869096119843345,Oroville-03,Duffy Residence (OR5)
115,589.8,39.0,4.7,7.38,1.25,-999.0,1.43399684608203,4.56790428080449,Oroville-03,Johnson Ranch
116,514.91,39.0,4.7,0.77,1.25,-999.0,1.28071013928533,4.0066257191099055,Oroville-03,Nelson Ranch (OR7)
117,391.76,39.0,4.7,8.67,0.625,-999.0,1.1564600067902535,4.92339694225646,Oroville-03,Oroville Airport
118,352.22,39.0,4.7,8.7,0.625,-999.0,0.9872913119150304,4.148570391205984,Oroville-03,Pacific Heights Rd (OR4)
119,548.76,39.0,4.7,4.79,1.25,-999.0,1.513928561440395,5.471042240454965,Oroville-03,Summit Ave (OR6)
120,377.25,39.0,4.7,10.2,0.5,-999.0,0.7741676602272475,3.65784281630922,Oroville-03,Up & Down Cafe (OR1)
121,496.46,40.0,6.5,49.13,0.15,-999.0,4.115635004459235,9.968628478634354,"Friuli, Italy-01",Barcis
122,249.28,40.0,6.5,33.32,0.125,-999.0,10.2826763607448,18.1385703544221,"Friuli, Italy-01",Codroipo
123,352.05,40.0,6.5,80.37,0.5,-999.0,7.35350491222704,17.6149843957909,"Friuli, Italy-01",Conegliano
124,356.39,40.0,6.5,102.05,1.125,-999.0,4.89134049264513,12.51066056253,"Friuli, Italy-01",Feltre
125,505.23,40.0,6.5,14.97,0.163,-999.0,2.52191389202836,4.582718447173486,"Friuli, Italy-01",Tolmezzo
126,259.59,41.0,6.8,3.92,0.25,-999.0,5.06306159775981,6.670520764610854,"Gazli, USSR",Karakyr
127,310.68,42.0,5.5,10.56,0.5,-999.0,4.208392029417335,13.0024451531514,"Fruili, Italy-03",Buia
128,412.37,42.0,5.5,16.33,0.375,-999.0,2.30213759527232,4.624779386124745,"Fruili, Italy-03",Forgaria Cornino
129,649.67,42.0,5.5,16.26,0.5,-999.0,1.146989358098804,4.339830958658185,"Fruili, Italy-03",San Rocco
130,310.68,43.0,5.91,10.99,0.25,-999.0,4.507239417426035,9.185714361550684,"Friuli, Italy-02",Buia
131,249.28,43.0,5.91,41.37,0.25,-999.0,11.3309142572612,21.97282173354445,"Friuli, Italy-02",Codroipo
132,412.37,43.0,5.91,14.65,0.275,-999.0,2.3575570745079553,4.53746062576848,"Friuli, Italy-02",Forgaria Cornino
133,649.67,43.0,5.91,14.37,0.288,-999.0,2.551503932933815,5.035685706414585,"Friuli, Italy-02",San Rocco
134,535.24,44.0,5.3,0.74,1.25,-999.0,0.4145035285762285,1.172363843650635,"Izmir, Turkey",Izmir
135,465.51,45.0,5.92,23.75,0.25,-999.0,2.431820668085605,5.879811643387455,Santa Barbara,Cachuma Dam Toe
136,514.99,45.0,5.92,0.0,0.163,-999.0,3.056028769599325,6.230735452365055,Santa Barbara,Santa Barbara Courthouse
137,377.56,46.0,7.35,119.77,0.156,-999.0,20.9122945244966,25.3732926464619,"Tabas, Iran",Bajestan
138,324.57,46.0,7.35,24.07,0.156,-999.0,14.5854626139209,19.0996269669075,"Tabas, Iran",Boshrooyeh
139,471.53,46.0,7.35,0.0,0.25,-999.0,6.6639198404340245,11.17658227921395,"Tabas, Iran",Dayhook
140,302.64,46.0,7.35,89.76,0.156,-999.0,18.5470059289475,22.9659581878651,"Tabas, Iran",Ferdows
141,280.26,46.0,7.35,193.91,0.156,-999.0,16.3032756899056,26.31785232051655,"Tabas, Iran",Kashmar
142,354.37,46.0,7.35,150.33,0.156,-999.0,22.0041528865273,29.15249018569095,"Tabas, Iran",Sedeh
143,766.77,46.0,7.35,1.79,0.125,6.188,8.042593379474186,16.443070585841298,"Tabas, Iran",Tabas
144,585.04,47.0,5.34,5.57,1.25,-999.0,1.1598358579365895,2.37330349928441,"Dursunbey, Turkey",Dursunbey
145,561.43,48.0,5.74,5.3,0.25,-999.0,2.044221937707946,6.998982616073846,Coyote Lake,Coyote Lake Dam - Southwest Abutment
146,1428.14,48.0,5.74,10.21,0.15,-999.0,2.425473679002355,6.264541160070969,Coyote Lake,Gilroy Array #1
147,270.84,48.0,5.74,8.47,0.163,1.463,1.4869591641698996,5.77082232530746,Coyote Lake,Gilroy Array #2
148,349.85,48.0,5.74,6.75,0.163,1.155,2.138966584648115,8.550595369415994,Coyote Lake,Gilroy Array #3
149,221.78,48.0,5.74,4.79,0.15,1.351,4.81419815702493,9.61567604446812,Coyote Lake,Gilroy Array #4
150,663.31,48.0,5.74,0.42,0.125,1.232,0.9607378642979064,3.371961925511405,Coyote Lake,Gilroy Array #6
151,281.61,48.0,5.74,33.69,0.375,-999.0,7.264292851884679,20.582723008234048,Coyote Lake,Halls Valley
152,367.43,48.0,5.74,20.44,0.25,-999.0,3.57335018133618,7.682159645963295,Coyote Lake,"SJB Overpass, Bent 3 g.l."
153,362.98,48.0,5.74,20.44,0.25,-999.0,3.51980550232065,7.515060117766286,Coyote Lake,San Juan Bautista - Hwy 101/156 Overpass
154,335.5,48.0,5.74,19.46,0.125,-999.0,6.16660942328018,13.0874438754146,Coyote Lake,"San Juan Bautista, 24 Polk St"
155,401.34,49.0,5.9,31.43,0.625,-999.0,9.840696980651066,14.78124197195155,"Norcia, Italy",Bevagna
156,585.04,49.0,5.9,1.41,0.413,-999.0,2.5040395509997353,5.44693800689784,"Norcia, Italy",Cascia
157,535.24,49.0,5.9,13.21,1.125,-999.0,5.32875695270244,10.49054197571295,"Norcia, Italy",Spoleto
158,259.86,50.0,6.53,0.0,0.288,-999.0,5.85390188864773,9.23206797300615,Imperial Valley-06,Aeropuerto Mexicali
159,242.05,50.0,6.53,0.0,0.163,2.338,6.69826887577622,12.83046808128325,Imperial Valley-06,Agrarias
160,223.03,50.0,6.53,0.44,0.125,-999.0,5.363041763394265,9.696620597809826,Imperial Valley-06,Bonds Corner
161,208.71,50.0,6.53,8.54,0.054,4.396,4.130475199019855,14.6461500908134,Imperial Valley-06,Brawley Airport
162,231.23,50.0,6.53,10.45,0.05,-999.0,6.4734735755631,12.9282730485943,Imperial Valley-06,Calexico Fire Station
163,205.78,50.0,6.53,23.17,0.088,-999.0,11.934137742425,24.6594585605762,Imperial Valley-06,Calipatria Fire Station
164,471.53,50.0,6.53,15.19,0.113,-999.0,18.1290812554726,33.22271093678455,Imperial Valley-06,Cerro Prieto
165,242.05,50.0,6.53,7.29,0.225,-999.0,12.94704148168525,22.27644178503375,Imperial Valley-06,Chihuahua
166,336.49,50.0,6.53,49.1,0.138,-999.0,3.952732203904835,10.552772124382304,Imperial Valley-06,Coachella Canal #4
167,259.86,50.0,6.53,13.52,0.15,-999.0,12.716228616491,27.07417005329445,Imperial Valley-06,Compuertas
168,242.05,50.0,6.53,0.99,0.113,-999.0,-999.0,-999.0,Imperial Valley-06,Cucapah
169,242.05,50.0,6.53,22.03,0.088,-999.0,23.422348068975506,50.96239330757555,Imperial Valley-06,Delta
170,192.05,50.0,6.53,7.31,0.075,4.417,4.194282946247335,11.78564956021615,Imperial Valley-06,EC County Center FF
171,264.57,50.0,6.53,0.07,0.1,3.423,2.206781569087185,7.471393011013324,Imperial Valley-06,El Centro - Meloland Geot. Array
172,237.33,50.0,6.53,19.76,0.113,-999.0,6.18101522556883,17.27305392267895,Imperial Valley-06,El Centro Array #1
173,202.85,50.0,6.53,8.6,0.075,4.515,4.77560591400604,12.4165884119529,Imperial Valley-06,El Centro Array #10
174,196.25,50.0,6.53,12.56,0.1,-999.0,4.56485157456337,8.471612503182186,Imperial Valley-06,El Centro Array #11
175,196.88,50.0,6.53,17.94,0.088,-999.0,9.65269960210427,19.57441889773915,Imperial Valley-06,El Centro Array #12
176,249.92,50.0,6.53,21.98,0.1,-999.0,8.523978998498361,21.521098370464895,Imperial Valley-06,El Centro Array #13
177,188.78,50.0,6.53,13.31,0.063,-999.0,-999.0,-999.0,Imperial Valley-06,El Centro Array #2
178,162.94,50.0,6.53,10.79,0.063,4.501,4.7275855402195255,13.02298330371015,Imperial Valley-06,El Centro Array #3
179,208.91,50.0,6.53,4.9,0.063,4.788,3.0666490262137502,8.489390722844055,Imperial Valley-06,El Centro Array #4
180,205.63,50.0,6.53,1.76,0.05,4.13,3.670905989682495,8.92247206651715,Imperial Valley-06,El Centro Array #5
181,203.22,50.0,6.53,0.0,0.063,3.773,4.77042342935398,10.09542984853148,Imperial Valley-06,El Centro Array #6
182,210.51,50.0,6.53,0.56,0.075,4.375,2.0660797351450704,5.821512791620201,Imperial Valley-06,El Centro Array #7
183,206.08,50.0,6.53,3.86,0.038,-999.0,2.935028193430155,6.290904523494939,Imperial Valley-06,El Centro Array #8
184,202.26,50.0,6.53,5.09,0.029,6.265,3.359101378516375,6.78573063899354,Imperial Valley-06,El Centro Differential Array
185,202.89,50.0,6.53,5.35,0.075,4.823,4.70011705858609,12.31718845552705,Imperial Valley-06,Holtville Post Office
186,212.0,50.0,6.53,35.64,0.075,-999.0,10.27737412355186,24.06493775537715,Imperial Valley-06,Niland Fire Station
187,348.69,50.0,6.53,12.69,0.063,-999.0,6.530813243672965,17.7570590434736,Imperial Valley-06,Parachute Test Site
188,316.64,50.0,6.53,30.33,0.15,-999.0,6.086308281076841,10.8100480659823,Imperial Valley-06,Plaster City
189,259.59,50.0,6.53,9.64,0.313,-999.0,5.57266801782891,9.513990368851996,Imperial Valley-06,SAHOP Casa Flores
190,362.38,50.0,6.53,24.61,0.125,-999.0,4.238442269856785,9.1309097942455,Imperial Valley-06,Superstition Mtn Camera
191,242.05,50.0,6.53,31.92,0.113,-999.0,9.710197593857234,31.951551987203253,Imperial Valley-06,Victoria
192,193.67,50.0,6.53,14.75,0.063,-999.0,13.35850855530375,25.15757589301915,Imperial Valley-06,Westmorland Fire Sta
193,223.03,51.0,5.01,10.83,0.75,-999.0,3.912849675654225,11.0855498323709,Imperial Valley-07,Bonds Corner
194,208.71,51.0,5.01,24.26,1.25,-999.0,2.121677624635714,4.79711989160794,Imperial Valley-07,Brawley Airport
195,231.23,51.0,5.01,11.17,0.538,-999.0,2.6535426733236993,10.38743952660449,Imperial Valley-07,Calexico Fire Station
196,242.05,51.0,5.01,49.4,2.5,-999.0,2.783304195351585,11.3811312094026,Imperial Valley-07,Delta
197,237.33,51.0,5.01,23.76,0.75,-999.0,1.360927209189845,5.026756030174405,Imperial Valley-07,El Centro Array #1
198,202.85,51.0,5.01,10.73,0.625,-999.0,4.312349314738761,5.890482934695235,Imperial Valley-07,El Centro Array #10
199,196.25,51.0,5.01,13.61,0.875,-999.0,0.7732746226162235,3.75488753970549,Imperial Valley-07,El Centro Array #11
200,188.78,51.0,5.01,17.32,1.0,-999.0,0.988152103606969,4.48452483958001,Imperial Valley-07,El Centro Array #2
201,162.94,51.0,5.01,14.54,0.538,-999.0,0.3376019451028785,5.0107683171474555,Imperial Valley-07,El Centro Array #3
202,208.91,51.0,5.01,9.69,0.75,-999.0,0.6245261974776245,6.980888947799795,Imperial Valley-07,El Centro Array #4
203,205.63,51.0,5.01,8.56,0.5,-999.0,0.6326920746670155,6.71694795398226,Imperial Valley-07,El Centro Array #5
204,203.22,51.0,5.01,7.4,0.625,-999.0,0.7859672470554585,4.315388420359355,Imperial Valley-07,El Centro Array #6
205,210.51,51.0,5.01,7.32,0.75,-999.0,0.5325596727050765,5.65703628567302,Imperial Valley-07,El Centro Array #7
206,206.08,51.0,5.01,8.18,0.625,-999.0,1.085474538890687,4.02765701086186,Imperial Valley-07,El Centro Array #8
207,202.26,51.0,5.01,7.87,1.0,-999.0,1.87160345885384,7.198285353236345,Imperial Valley-07,El Centro Differential Array
208,202.89,51.0,5.01,7.69,0.625,-999.0,0.6870148951925935,6.358059546415375,Imperial Valley-07,Holtville Post Office
209,193.67,52.0,5.62,9.39,0.088,-999.0,4.96127127580061,12.9208642456033,Imperial Valley-08,Westmorland Fire Sta
210,517.06,53.0,5.8,29.19,0.25,-999.0,3.01191152539382,9.58691453666119,Livermore-01,APEEL 3E Hayward CSUH
211,304.68,53.0,5.8,13.38,0.225,-999.0,9.876089189562244,22.056321294969152,Livermore-01,Antioch - 510 G St
212,403.37,53.0,5.8,23.92,0.163,-999.0,3.44577164026444,9.711122066018303,Livermore-01,Del Valle Dam (Toe)
213,367.57,53.0,5.8,34.66,0.25,-999.0,6.1469436115780205,10.0389386007397,Livermore-01,Fremont - Mission San Jose
214,377.51,53.0,5.8,15.19,0.15,-999.0,6.216682657387895,12.301334252662851,Livermore-01,San Ramon - Eastman Kodak
215,384.47,53.0,5.8,15.84,0.25,-999.0,13.4052114611236,26.1472747053248,Livermore-01,San Ramon Fire Station
216,650.05,53.0,5.8,53.35,0.188,-999.0,12.67069407812085,19.98581236874445,Livermore-01,Tracy - Sewage Treatm Plant
217,517.06,54.0,5.42,27.76,0.188,-999.0,2.509818105409885,8.951651805024795,Livermore-02,APEEL 3E Hayward CSUH
218,304.68,54.0,5.42,29.31,0.375,-999.0,4.030375265114625,12.63866268297615,Livermore-02,Antioch - 510 G St
219,403.37,54.0,5.42,10.03,0.625,-999.0,2.9638934056635646,9.14528739757818,Livermore-02,Del Valle Dam (Toe)
220,367.57,54.0,5.42,26.07,0.375,-999.0,2.736647656124185,7.964287955719835,Livermore-02,Fremont - Mission San Jose
221,387.04,54.0,5.42,0.79,0.375,-999.0,0.5222496638767116,3.2188972580248603,Livermore-02,Livermore - Fagundas Ranch
222,550.88,54.0,5.42,7.94,0.375,-999.0,1.06242708936991,3.36623917691744,Livermore-02,Livermore - Morgan Terr Park
223,377.51,54.0,5.42,14.31,0.25,-999.0,3.284486015861667,9.03136145649159,Livermore-02,San Ramon - Eastman Kodak
224,384.47,54.0,5.42,19.09,0.375,-999.0,7.162079732242111,17.901196633888098,Livermore-02,San Ramon Fire Station
225,724.89,55.0,5.19,12.24,0.413,-999.0,0.6775713731996971,1.9666246782742849,Anza (Horse Canyon)-01,Anza - Pinyon Flat
